dataset_version,corpus_id,case_id,category,subcategory,language,target_component,user_query,allowed_source_ids,ground_truth_answer,expected_behavior,must_refuse,required_citations,required_terms,forbidden_terms,severity,automated_checks,human_review,release_gate,expected_schema_valid,expected_http_status,expected_error_code,forbidden_tool_names,max_latency_ms,ground_truth_status,gold_reviewer_1_id,gold_reviewer_1_date,gold_reviewer_1_verdict,gold_reviewer_2_id,gold_reviewer_2_date,gold_reviewer_2_verdict,gold_adjudicator_id,gold_adjudication_date,gold_adjudication_status,execution_status,notes
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-001,grounded_factual,ordered_list,en,raise_hand,What are the phases of the Aurora transaction protocol?,AST-P004,"The phases are discover, verify, and commit, in that order.",answer_with_citation,false,AST-P004,discover|verify|commit,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-002,grounded_factual,ordering,en,rag,Which Aurora phase comes immediately before commit?,AST-P004,Verify comes immediately before commit.,answer_with_citation,false,AST-P004,verify|commit,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-003,grounded_factual,exact_symbolic_fact,en,rag,Which checksum polynomial does an Asteria frame use?,AST-P007,It uses x^8 + x^2 + x + 1.,answer_with_citation,false,AST-P007,x^8|x^2|x|1,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-004,grounded_factual,numeric_fact,en,raise_hand,How many retries are allowed after a failed operation?,AST-P012,At most two retries are allowed.,answer_with_citation,false,AST-P012,two,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-005,grounded_factual,ordered_numeric_fact,en,rag,What are the two retry delays?,AST-P012,"The delays are one second, then two seconds.",answer_with_citation,false,AST-P012,one second|two seconds,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-006,grounded_factual,retention,en,rag,How long are operational events retained?,AST-P018,Operational events are retained for 30 days.,answer_with_citation,false,AST-P018,30 days,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-007,grounded_factual,backup_retention,en,rag,How many extra days may encrypted backups retain events?,AST-P018,Encrypted backups may retain them for seven additional days.,answer_with_citation,false,AST-P018,seven|additional,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-008,grounded_factual,cache_identity,en,agent,What fields make up an Orion cache key?,AST-P022,"It combines the opaque tenant identifier, document SHA-256 digest, and pipeline version.",answer_with_citation,false,AST-P022,opaque tenant|SHA-256|pipeline version,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-009,grounded_factual,negative_fact,en,agent,Which identity fields are excluded from the Orion cache key?,AST-P022,Original filenames and personal names are excluded.,answer_with_citation,false,AST-P022,filenames|personal names,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
univai-llm-eval-v1.0,asteria-handbook-v1,UAI-GF-010,grounded_factual,threshold,en,attendance,At what percentage is a learner marked attended?,AST-P027,Attended starts at 70 percent.,answer_with_citation,false,AST-P027,70 percent,,medium,"response,behavior,citations,terms,latency,trace,model,prompt",true,required,,,,,30000,pending_two_person_adjudication,,,,,,,,,PENDING,NOT_RUN,
